ranking,score_final,roic_score,growth_2006_score,growth_2017_score,ev_ebit_score,symbol,companyName,exchange,sector,industry,current_price,fair_value_min,fair_value_max,trading_currency,reported_currency,ey_overall_min,ey_overall_max,ey_q1_min,ey_q1_max,ey_q2_min,ey_q2_max,ey_q3_min,ey_q3_max,ey_q4_min,ey_q4_max,ey_q5_min,ey_q5_max,fair_value_min_unconverted,fair_value_max_unconverted,marketCapTTM,enterpriseValueTTM,returnOnEquityTTM,returnOnInvestedCapitalTTM,returnOnInvestedCapitalTTM_win,returnOnInvestedCapitalTTM_original,ev_ebit,ev_ebit_win,ev_ebit_original,revenue_per_share_cagr_2006_ltm,revenue_per_share_cagr_2006_ltm_win,revenue_per_share_cagr_2006_ltm_original,revenue_per_share_cagr_2017_ltm,revenue_per_share_cagr_2017_ltm_win,revenue_per_share_cagr_2017_ltm_original,operating_income_per_share_cagr_2006_ltm,operating_income_per_share_cagr_2017_ltm,revenue_per_share_2006,revenue_per_share_2017,revenue_per_share_ltm,operating_income_per_share_2006,operating_income_per_share_2017,operating_income_per_share_ltm,revenue_2006,operatingIncome_2006,shares_2006,revenue_2017,operatingIncome_2017,shares_2017,revenue_ltm,operatingIncome_ltm,shares_ltm,netIncome_ltm,incomeTaxExpense_ltm,interestExpense_ltm,ebit_ltm
1,0.99718,0.99153,1.00000,1.00000,1.00000,AX,"Axos Financial, Inc.",NYSE,Financial Services,Banks - Regional,57.83000,26.31806,61.41392,USD,USD,0.00741,0.28650,,,,,,,,,,,26.31806,61.41392,3302006255.00000,1282625255.00000,0.18381,0.27096,0.27096,0.27096,0.94802,2.09891,0.94802,0.26630,0.13030,0.26630,0.22689,0.15915,0.22689,0.16635,0.16275,0.34015,5.88062,30.19120,0.84929,4.73017,15.80425,11297000.00000,28206000.00000,33211429.00000,381359000.00000,306752000.00000,64850114.00000,1723741000,902330000,57094153.00000,432619000,176832000.00000,743507000.00000,1352958000.00000
2,0.94796,1.00000,0.42173,1.00000,1.00000,ROCC,Ranger Oil Corporation,NASDAQ,Energy,Oil & Gas Exploration & Production,37.47000,2.17816,237.52619,USD,USD,0.00070,13.93380,,,,,,,,,,,2.17816,237.52619,712255989.00000,1308740989.00000,1.14990,0.61490,0.27325,0.61490,1.99326,2.09891,1.99326,0.02132,0.02132,0.02132,0.24156,0.15915,0.24156,0.06981,0.32541,40.35806,10.67311,60.26008,9.12863,3.45499,32.90430,753929000.00000,170532000.00000,18681000.00000,160054000.00000,51811000.00000,14996000.00000,1143435000,624359000,18975000.00000,598970000,5366000.00000,52246000.00000,656582000.00000
3,0.94591,0.94178,1.00000,1.00000,0.89596,CROX,"Crocs, Inc.",NASDAQ,Consumer Cyclical,Apparel - Footwear & Accessories,100.65000,68.80903,176.56415,USD,USD,0.00934,0.23384,,,,,,,,,,,68.80903,176.56415,5642056530.00000,5813528530.00000,0.55795,0.25751,0.25751,0.25751,5.70038,5.70038,5.70038,0.19592,0.13030,0.19592,0.22365,0.15915,0.22365,0.19115,0.71238,2.37758,14.16529,71.19861,0.63906,0.23993,17.73689,354728000.00000,95346000.00000,149196800.00000,1023513000.00000,17336000.00000,72255000.00000,4102108000,1021911000,57615000.00000,950071000,-39486000.00000,109264000.00000,1019849000.00000
5,0.92714,1.00000,0.74488,1.00000,0.85029,FOR,Forestar Group Inc.,NYSE,Real Estate,Real Estate - Development,21.11000,7.49839,33.17351,USD,USD,0.00053,0.47877,,,,,,,,,,,7.49839,33.17351,1069757694.00000,1754057694.00000,0.13382,1.22968,0.27325,1.22968,7.28127,7.28127,7.28127,0.08222,0.08222,0.08222,0.34242,0.15915,0.34242,0.03963,0.20692,6.37535,2.71274,28.61033,2.03007,0.94358,4.24826,225560000.00000,71824000.00000,35380000.00000,114322000.00000,39765000.00000,42142690.00000,1454000000,215900000,50820797.00000,181800000,59100000.00000,0.00000,240900000.00000
6,0.92656,1.00000,0.77565,0.93755,0.88583,MKL,Markel Corporation,NYSE,Financial Services,Insurance - Property & Casualty,1723.03000,699.46884,2021.22473,USD,USD,0.00822,0.28514,,,,,,,,,,,699.46884,2021.22473,22003093100.00000,22640767100.00000,0.16773,0.36840,0.27325,0.36840,6.05107,6.05107,6.05107,0.08802,0.08802,0.08802,0.14572,0.14572,0.14572,0.08261,0.43810,259.47224,434.09188,1288.83088,63.71663,15.73661,287.88477,2519005000.00000,618573000.00000,9708187.00000,6061659000.00000,219746000.00000,13964000.00000,16620763000,3712562000,12896000.00000,2747022000,790294000.00000,204300000.00000,3741616000.00000
9,0.91848,1.00000,0.72641,0.82473,0.95726,UMBF,UMB Financial Corporation,NASDAQ,Financial Services,Banks - Regional,86.87500,47.90968,127.31982,USD,USD,0.02211,0.18911,,,,,,,,,,,47.90968,127.31982,6311920500.00000,6124037500.00000,0.13189,0.75036,0.27325,0.75036,3.57840,3.57840,3.57840,0.07874,0.07874,0.07874,0.12146,0.12146,0.12146,0.07069,0.11780,11.08561,18.70387,46.79667,5.49098,8.24853,20.10362,472169000.00000,233877000.00000,42592960.00000,920673000.00000,406023000.00000,49223661.00000,2284009000,981199000,48807081.00000,441243000,100030000.00000,1170117000.00000,1711390000.00000
10,0.90787,1.00000,1.00000,1.00000,0.72361,LULU,Lululemon Athletica Inc.,NASDAQ,Consumer Cyclical,Apparel - Retail,263.70000,156.13472,495.95319,USD,USD,0.00111,0.09428,,,,,,,,,,,156.13472,495.95319,30462887700.00000,30054342700.00000,0.42786,0.28281,0.27325,0.28281,11.66671,11.66671,11.66671,0.25614,0.13030,0.25614,0.20572,0.15915,0.20572,0.30932,0.25649,1.14251,19.48099,87.01401,0.12442,3.35324,20.83248,148884834.00000,16213414.00000,130313250.00000,2649181000.00000,456001000.00000,135988000.00000,10588126000,2534959000,121683000.00000,1814616000,761461000.00000,0.00000,2576077000.00000
17,0.88754,1.00000,0.64767,0.75260,0.93836,MGYR,"Magyar Bancorp, Inc.",NASDAQ,Financial Services,Banks - Regional,13.80000,1.62777,23.48030,USD,USD,0.00006,0.79864,,,,,,,,,,,1.62777,23.48030,89418756.00000,116990756.00000,0.07487,0.36508,0.27325,0.36508,4.23266,4.23266,4.23266,0.06390,0.06390,0.06390,0.10595,0.10595,0.10595,0.24128,0.14295,2.39477,3.47103,7.76869,0.05098,1.06344,3.09688,14186000.00000,302000.00000,5923742.00000,20204000.00000,6190000.00000,5820746.00000,48415000,19300000,6232069.00000,8215000,3423000.00000,16002000.00000,27640000.00000
21,0.86427,1.00000,0.62857,0.57957,1.00000,LNC,Lincoln National Corporation,NYSE,Financial Services,Insurance - Life,29.97000,14.62652,154.12537,USD,USD,0.02872,1.32636,,,,,,,,,,,14.62652,154.12537,5107007880.00000,5661007880.00000,0.51923,3.44899,0.27325,3.44899,1.29929,2.09891,1.29929,0.06030,0.06030,0.06030,0.06874,0.06874,0.06874,-0.00100,0.03084,35.91255,64.18352,109.24821,8.06774,6.20811,7.91563,9063000000.00000,2036000000.00000,252363042.00000,14257000000.00000,1379000000.00000,222128687.00000,17528000000,1270000000,160441993.00000,3276000000,745000000.00000,336000000.00000,4357000000.00000
22,0.86427,1.00000,0.62857,0.57957,1.00000,LNC-PD,Lincoln National Corporation,NYSE,,,26.48000,14.62652,154.12537,USD,USD,0.02872,1.32636,,,,,,,,,,,14.62652,154.12537,5107007880.00000,5661007880.00000,0.51923,3.44899,0.27325,3.44899,1.29929,2.09891,1.29929,0.06030,0.06030,0.06030,0.06874,0.06874,0.06874,-0.00100,0.03084,35.91255,64.18352,109.24821,8.06774,6.20811,7.91563,9063000000.00000,2036000000.00000,252363042.00000,14257000000.00000,1379000000.00000,222128687.00000,17528000000,1270000000,160441993.00000,3276000000,745000000.00000,336000000.00000,4357000000.00000
